"Rang","Navn","Antall per 2020"
"386","Vanja","973"
"387","Gjertrud","968"
"388","Barbara","963"
"389","Gøril","961"
"390","Ewa","949"
"391","Elvira","948"
"392","Marielle","931"
"393","Lykke","930"
"394","Paula","929"
"395","Jorid","927"
"396","Karine","920"
"397","Maryam","920"
"398","Maia","914"
"399","Mali","910"
"400","Aisha","908"
"401","Mariam","908"
"402","Elisabet","893"
"403","Mira","893"
"404","Thale","893"
"405","Ingvill","890"
"406","Annbjørg","882"
"407","Lovise","875"
"408","Nancy","871"
"409","Vilja","859"
"410","Regine","857"
"411","Sanne","841"
"412","Alfhild","834"
"413","Connie","834"
"414","Elisa","833"
"415","Norunn","826"
"416","Linea","825"
"417","Saga","824"
"418","Jeanett","819"
"419","Zahra","818"
"420","Sigrunn","808"
"421","Cecilia","801"
"422","Paulina","797"
"423","Susann","796"
"424","Lisbet","793"
"425","Venke","792"
"426","Vilma","785"
"427","Rønnaug","774"
"428","Anne-Grethe","764"
"429","Jennifer","762"
"430","Julianne","762"
"431","Frøya","757"
"432","Una","753"
"433","Ulla","744"
"434","Lydia","742"
"435","Asta","741"
"436","Filippa","727"
"437","Beata","726"
"438","Terese","723"
"439","Katharina","717"
"440","Embla","710"
"441","Susan","703"
"442","Svetlana","700"
"443","Herdis","696"
"444","Birthe","688"
"445","Bettina","686"
"446","Leonora","685"
"447","Renata","684"
"448","Åsa","679"
"449","Margunn","678"
"450","Beathe","676"
"451","Birte","674"
"452","Ebba","674"
"453","Hennie","674"
"454","Ulrikke","672"
"455","Alida","671"
"456","Liss","669"
"457","Signy","666"
"458","Ann-Mari","665"
"459","Åsne","663"
"460","Fride","662"
"461","Tatiana","662"
"462","Jannike","661"
"463","Harriet","659"
"464","Daniela","657"
"465","Nicoline","656"
"466","Oddlaug","656"
"467","Jolanta","654"
"468","Aida","652"
"469","Justyna","652"
"470","Yasmin","650"
"471","Erica","648"
"472","Hilda","643"
"473","Kjerstin","642"
"474","Sylwia","640"
"475","Idun","639"
"476","Mildrid","638"
"477","Kristi","637"
"478","Torun","637"
"479","Adriana","629"
"480","Christel","628"
"481","Sina","627"
"482","Emine","626"
"483","Lilja","625"
"484","Nicole","624"
"485","Anneli","623"
"486","Dorota","622"
"487","Elna","622"
"488","Åsta","620"
"489","Fanny","618"
"490","Lotta","616"
"491","Dagrun","613"
"492","Ingun","613"
"493","Rachel","612"
"494","Veslemøy","610"
"495","Kim","609"
"496","Gerda","608"
"497","Nikoline","608"
"498","Nanna","603"
"499","Eileen","599"
"500","Brynhild","598"
"501","Tale","596"
"502","Samira","590"
"503","Arna","589"
"504","Claudia","587"
"505","Patricia","582"
"506","Silja","580"
"507","Lilli","578"
"508","Sol","575"
"509","Brith","574"
"510","Gitte","570"
"511","Anne-Karin","564"
"512","Gabriela","562"
"513","Valentina","560"
"514","Janicke","557"
"515","Torgunn","557"
"516","Bergljot","555"
"517","Jelena","553"
"518","Kaisa","553"
"519","Cassandra","552"
"520","Kitty","551"
"521","Ann-Karin","549"
"522","Dagmar","548"
"523","Kristiane","546"
"524","Inger-Johanne","545"
"525","Lily","545"
"526","Iman","544"
"527","Clara","543"
"528","Agnete","541"
"529","Ann-Helen","539"
"530","Angela","534"
"531","Naomi","534"
"532","Iwona","533"
"533","Pauline","533"
"534","Catherine","532"
"535","Reidunn","529"
"536","Rose","529"
"537","Wilma","529"
"538","Alise","528"
"539","Silvia","528"
"540","Annlaug","525"
"541","Gretha","520"
"542","Gunnvor","519"
"543","Halldis","519"
"544","Katrin","518"
"545","Catharina","516"
"546","Marian","516"
"547","Kari-Anne","515"
"548","Agata","514"
"549","Anett","514"
"550","Katja","513"
"551","Jana","511"
"552","Amal","505"
"553","Tara","505"
"554","Elzbieta","504"
"555","Synøve","504"
"556","Valborg","503"
"557","Jill","502"
"558","Solvor","502"
"559","Melina","501"
"560","Marlen","496"
"561","Jasmin","495"
"562","Ellie","493"
"563","Elly","493"
"564","Izabela","492"
"565","Kamila","491"
"566","Simone","491"
"567","Ingfrid","490"
"568","Kornelia","489"
"569","Stephanie","487"
"570","Anni","486"
"571","Maj","485"
"572","Ingerid","483"
"573","Mirjam","483"
"574","Doris","480"
"575","Khadija","478"
"576","Patrycja","477"
"577","Wiktoria","476"
"578","Kerstin","475"
"579","Ewelina","474"
"580","Ramona","473"
"581","Elen","471"
"582","Anne-Britt","470"
"583","Irmelin","469"
"584","Salma","469"
"585","Martina","468"
"586","Kajsa","466"
"587","Sonia","465"
"588","Zuzanna","465"
"589","Angelika","463"
"590","Juliane","461"
"591","Lin","461"
"592","Fatma","460"
"593","Lara","458"
"594","Aneta","457"
"595","Milena","457"
"596","Fadumo","456"
"597","Tea","456"
"598","Bianca","455"
"599","Teresa","455"
"600","Eldrid","453"
"601","Alvhild","452"
"602","Ariel","452"
"603","Josephine","452"
"604","Ann-Christin","450"
"605","Ava","448"
"606","Ingelin","448"
"607","Maud","448"
"608","Vårin","448"
"609","Thelma","446"
"610","Alicja","445"
"611","Amira","445"
"612","Catrine","445"
"613","Eivor","445"
"614","Leila","445"
"615","Liva","445"
"616","Anne-Grete","444"
"617","Sabrina","441"
"618","Othilie","440"
"619","Kjellrun","438"
"620","Selina","438"
"621","Zainab","438"
"622","Christiane","437"
"623","Irma","437"
"624","Simona","436"
"625","Idunn","435"
"626","Gabriella","434"
"627","Leona","432"
"628","Vilje","432"
"629","Agnethe","431"
"630","Kjellfrid","431"
"631","Dorthe","430"
"632","Cristina","426"
"633","Solvår","424"
"634","Annelise","422"
"635","Evelina","420"
"636","Bertine","418"
"637","Vibecke","418"
"638","Alvilde","417"
"639","Regina","417"
"640","Aya","416"
"641","Ariana","415"
"642","Betty","414"
"643","Hana","413"
"644","Amy","412"
"645","Norah","412"
"646","Emmy","410"
"647","Ingri","410"
"648","Klaudia","409"
"649","Ågot","409"
"650","Marija","407"
"651","Olea","406"
"652","Tatjana","406"
"653","Fredrikke","404"
"654","Tyra","404"
"655","Janet","403"
