"Navn","Rang f ca. 1700[3][4]","Rang f ca. 1800[3][4]","Rang f ca. 1900[5]","Rang f ca. 2000[6]","Rang ibefolkningen 2005","Antall ibefolkningen 2005","Rang ibefolkningen 2018[2]","Antall ibefolkningen 2018[2]"
"Emilio","","","","","","< 200","793","228"
"Emir","","","","","","< 200","631","338"
"Emmanuel","","","","","","< 200","662","310"
"Emre","","","","","","< 200","609","356"
"Emrik","","","","","","< 200","381","874"
"Endre","47","","","","177","2 612","202","2 885"
"Enok","","","","","601","204","","< 200"
"Eric","47","","","","331","807","334","1 195"
"Erich","10","15","","","","< 200","","< 200"
"Erik","","48","","27","18","20 038","17","21 028"
"Erland","","","","","317","874","391","829"
"Erlend","","","","37","102","6 064","104","6 798"
"Erling","","","10","","74","8 559","110","6 207"
"Ernst","","","","","218","1 777","306","1 385"
"Esben","","","","","450","390","570","408"
"Eskil","","","","","257","1 366","235","2 293"
"Eskild","","","","","443","400","545","447"
"Espen","","","","22","37","14 024","36","14 126"
"Esten","","","","","","< 200","843","205"
"Evald","","","","","524","285","818","216"
"Evaldas","","","","","","< 200","852","203"
"Even","","28","","47","116","5 131","97","7 266"
"Eystein","","","","","467","357","643","324"
"Eyvind","","","","","434","411","581","393"
"Fabian","","","","","358","646","332","1 205"
"Faisal","","","","","","< 200","803","221"
"Falk","","","","","","< 200","741","251"
"Farhad","","","","","","< 200","812","218"
"Felix","","","","","365","614","222","2 507"
"Ferdinand","","","","","550","256","463","585"
"Fernando","","","","","","< 200","858","202"
"Filip","","","","","279","1 204","148","3 965"
"Fillip","","","","","","< 200","472","568"
"Finn","","","","","80","8 112","108","6 438"
"Flemming","","","","","506","304","669","307"
"Francis","","","","","","< 200","804","221"
"Francisco","","","","","","< 200","652","319"
"Frank","","","","","55","10 447","59","9 710"
"Frans","","","","","","< 200","794","228"
"Fred","","","","","215","1 837","279","1 710"
"Freddy","","","","","267","1 296","330","1 214"
"Frederik","","","","","430","422","478","558"
"Fredrick","","","","","548","257","651","320"
"Fredrik","","","","6","43","12 283","35","14 385"
"Fridtjof","","","","","406","488","555","426"
"Frithjof","","","","","516","296","813","218"
"Frits","","","","","491","320","770","238"
"Fritz","","","","","352","670","546","445"
"Frode","","","","","50","11 448","50","11 085"
"Gabriel","","","","","306","967","180","3 216"
"Gard","","","","","288","1 140","314","1 362"
"Gaute","","","","","216","1 823","258","2 012"
"Gediminas","","","","","","< 200","814","218"
"Geir","","","","","13","22 955","11","22 018"
"Georg","","","40","","183","2 435","232","2 300"
"George","","","","","553","255","533","474"
"Gerhard","","","","","396","511","583","387"
"Gert","","","","","587","214","836","208"
"Giedrius","","","","","","< 200","738","253"
"Gintaras","","","","","","< 200","787","231"
"Gisle","","","","","275","1 260","335","1 195"
"Gjermund","","","","","261","1 324","319","1 319"
